COD_NUTS;Designacao;Preco_m2_4T2024;Salario_Minimo_2024;Salario_Medio_Nacional_2024;Racio_Salario_Minimo_por_m2;Racio_Salario_Medio_por_m2
1950507;Penamacor;167.0;820.0;1600.0;0.2;0.1
1950510;Vila de Rei;162.0;820.0;1600.0;0.2;0.1
1960911;Sabugal;155.0;820.0;1600.0;0.19;0.1
11D1819;Tabuaço;151.0;820.0;1600.0;0.18;0.09
1960902;Almeida;145.0;820.0;1600.0;0.18;0.09
1960913;Trancoso;138.0;820.0;1600.0;0.17;0.09
1950511;Vila Velha de Ródão;136.0;820.0;1600.0;0.17;0.08
11E0410;Vila Flor;135.0;820.0;1600.0;0.16;0.08
11D0409;Torre de Moncorvo;132.0;820.0;1600.0;0.16;0.08
11D1801;Armamar;126.0;820.0;1600.0;0.15;0.08
1950505;Idanha-a-Nova;122.0;820.0;1600.0;0.15;0.08
1D21413;Mação;113.0;820.0;1600.0;0.14;0.07
1960904;Figueira de Castelo Rodrigo;95.0;820.0;1600.0;0.12;0.06
11D1818;Sernancelhe;100.0;820.0;1600.0;0.12;0.06
1960905;Fornos de Algodres;74.0;820.0;1600.0;0.09;0.05
;;;820.0;1600.0;;
11D1812;Penedono;;820.0;1600.0;;
1C20204;Barrancos;;820.0;1600.0;;
2004901;Corvo;;820.0;1600.0;;
2004801;Lajes das Flores;;820.0;1600.0;;
2004802;Santa Cruz das Flores;;820.0;1600.0;;
